"Daniil Medvedev","Alexander Zverev",RH,RH,0,1,1,1,0,0,2021-11-21,Tour_Finals,4,1,1,7,1,99,2,99,2,7,7,4,1,1,7,1,99,2,99,2,7,7,4,1,1,7,1,99,2,99,2,7,7,D:\FYP\modified_jk\charting\20211121-M-Tour_Finals-F-Daniil_Medvedev-Alexander_Zverev.html," forehand crosscourt"
"Alexander Zverev","Daniil Medvedev",RH,RH,1,0,1,1,0,0,2021-11-21,Tour_Finals,4,1,1,2,2,99,2,99,2,7,7,4,1,1,7,1,99,2,99,2,7,7,4,1,1,7,1,99,2,99,2,7,7,D:\FYP\modified_jk\charting\20211121-M-Tour_Finals-F-Daniil_Medvedev-Alexander_Zverev.html," forehand down the middle"
"Daniil Medvedev","Alexander Zverev",RH,RH,0,1,1,1,0,0,2021-11-21,Tour_Finals,4,2,1,2,2,99,2,99,2,4,1,4,1,1,2,2,99,2,99,2,7,7,4,1,1,7,1,99,2,99,2,7,7,D:\FYP\modified_jk\charting\20211121-M-Tour_Finals-F-Daniil_Medvedev-Alexander_Zverev.html," forehand down the middle (net),  unforced error"
"Daniil Medvedev","Alexander Zverev",RH,RH,0,2,1,1,0,0,2021-11-21,Tour_Finals,1,1,99,4,1,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,D:\FYP\modified_jk\charting\20211121-M-Tour_Finals-F-Daniil_Medvedev-Alexander_Zverev.html,"1st serve wide"
"Alexander Zverev","Daniil Medvedev",RH,RH,2,0,1,1,0,0,2021-11-21,Tour_Finals,3,1,1,7,1,2,2,99,2,7,7,1,1,99,4,1,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,D:\FYP\modified_jk\charting\20211121-M-Tour_Finals-F-Daniil_Medvedev-Alexander_Zverev.html," forehand return crosscourt (deep)"
"Daniil Medvedev","Alexander Zverev",RH,RH,0,2,1,1,0,0,2021-11-21,Tour_Finals,4,1,1,2,2,99,2,99,2,7,7,3,1,1,7,1,2,2,99,2,7,7,1,1,99,4,1,99,2,99,2,7,7,D:\FYP\modified_jk\charting\20211121-M-Tour_Finals-F-Daniil_Medvedev-Alexander_Zverev.html," forehand down the middle"
"Alexander Zverev","Daniil Medvedev",RH,RH,2,0,1,1,0,0,2021-11-21,Tour_Finals,4,2,22,7,3,99,2,99,2,7,7,4,1,1,2,2,99,2,99,2,7,7,3,1,1,7,1,2,2,99,2,7,7,D:\FYP\modified_jk\charting\20211121-M-Tour_Finals-F-Daniil_Medvedev-Alexander_Zverev.html," backhand crosscourt"
"Daniil Medvedev","Alexander Zverev",RH,RH,0,2,1,1,0,0,2021-11-21,Tour_Finals,4,3,24,99,99,99,2,99,2,3,99,4,2,22,7,3,99,2,99,2,7,7,4,1,1,2,2,99,2,99,2,7,7,D:\FYP\modified_jk\charting\20211121-M-Tour_Finals-F-Daniil_Medvedev-Alexander_Zverev.html," backhand slice,  forced error"
"Daniil Medvedev","Alexander Zverev",RH,RH,0,3,1,1,0,0,2021-11-21,Tour_Finals,1,3,99,4,3,99,2,99,2,2,4,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,D:\FYP\modified_jk\charting\20211121-M-Tour_Finals-F-Daniil_Medvedev-Alexander_Zverev.html,"1st serve wide,  fault (wide and long)"
"Daniil Medvedev","Alexander Zverev",RH,RH,0,3,1,1,0,0,2021-11-21,Tour_Finals,2,3,99,5,3,99,2,99,2,7,7,1,3,99,4,3,99,2,99,2,2,4,99,99,99,99,99,99,99,99,99,99,99,D:\FYP\modified_jk\charting\20211121-M-Tour_Finals-F-Daniil_Medvedev-Alexander_Zverev.html," 2nd serve to body"
"Alexander Zverev","Daniil Medvedev",RH,RH,3,0,1,1,0,0,2021-11-21,Tour_Finals,3,3,3,2,2,99,2,99,2,3,99,2,3,99,5,3,99,2,99,2,7,7,1,3,99,4,3,99,2,99,2,2,4,D:\FYP\modified_jk\charting\20211121-M-Tour_Finals-F-Daniil_Medvedev-Alexander_Zverev.html," forehand chip/slice return down the middle,  forced error"
"Daniil Medvedev","Alexander Zverev",RH,RH,1,3,1,1,0,0,2021-11-21,Tour_Finals,1,1,99,6,2,99,2,99,2,2,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,D:\FYP\modified_jk\charting\20211121-M-Tour_Finals-F-Daniil_Medvedev-Alexander_Zverev.html,"1st serve down the T,  fault (net)"
"Daniil Medvedev","Alexander Zverev",RH,RH,1,3,1,1,0,0,2021-11-21,Tour_Finals,2,1,99,6,2,99,2,99,2,7,7,1,1,99,6,2,99,2,99,2,2,1,99,99,99,99,99,99,99,99,99,99,99,D:\FYP\modified_jk\charting\20211121-M-Tour_Finals-F-Daniil_Medvedev-Alexander_Zverev.html," 2nd serve down the T"
"Alexander Zverev","Daniil Medvedev",RH,RH,3,1,1,1,0,0,2021-11-21,Tour_Finals,3,2,22,2,2,2,2,99,2,7,7,2,1,99,6,2,99,2,99,2,7,7,1,1,99,6,2,99,2,99,2,2,1,D:\FYP\modified_jk\charting\20211121-M-Tour_Finals-F-Daniil_Medvedev-Alexander_Zverev.html," backhand return down the middle (deep)"
"Daniil Medvedev","Alexander Zverev",RH,RH,1,3,1,1,0,0,2021-11-21,Tour_Finals,4,2,1,2,2,99,2,99,2,7,7,3,2,22,2,2,2,2,99,2,7,7,2,1,99,6,2,99,2,99,2,7,7,D:\FYP\modified_jk\charting\20211121-M-Tour_Finals-F-Daniil_Medvedev-Alexander_Zverev.html," forehand down the middle"
"Alexander Zverev","Daniil Medvedev",RH,RH,3,1,1,1,0,0,2021-11-21,Tour_Finals,4,2,22,10,1,99,1,99,2,5,7,4,2,1,2,2,99,2,99,2,7,7,3,2,22,2,2,2,2,99,2,7,7,D:\FYP\modified_jk\charting\20211121-M-Tour_Finals-F-Daniil_Medvedev-Alexander_Zverev.html," backhand inside-out (net cord),  winner"
